texto,nivel
Una liada de mermelada SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas El colegio está apestoso huele como el pedo de un oso Samuel comienza a almorzar ¡Ñam Mermelada sin parar.",1
"La mermelada, tan pringosa, se pega por todas las cosas Samuel lo está manchando todo Cuadros, puertas y hasta sus codos Mauro no sabe quién fue.",1
¿Fue Susana o quizá Samuel Susana está muy enfadada y él manchado de mermelada Va muy triste por el jardín a ver a su amigo Tintín.,1
Para limpiar todo al instante se le ocurre un plan brillante Él adora la mermelada Con su lengua no deja nada Las babas lo hacen brillar.,1
"Así al cole no puede entrar Samuel ha tenido una idea: ¡limpio , sin que nadie lo vea Le queda un enorme trabajo Le ayuda Tintín, que es muy majo.",1
"Como adora la mermelada, se la come sin dejar nada Mauro felicita a Samuel, pues piensa que ha sido él - Limpiaste todo con amor.",1
"Grandes pinreles SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro La escuela de monstruos ha abierto sus puertas Si sales corriendo, ¡seguro que aciertas.",1
"Pronto empezará la carrera Hoy no es un día cualquiera Es el día de olimpiadas, una fiesta muy esperada Pero Pedro, de grandes pies, parece que corre al revés.",1
"Cuando quiere ir el primero siempre termina en el suelo A veces termina liado igual que un ovillo enredado A él no le gusta la carrera, se esconde llorando y espera.",1
"Todos buscan muy preocupados pero Pedro está avergonzado Se escucha un grito de repente: parece que hubo un accidente En el pozo ha caído Inés, tan profundo que no la ves.",1
"Pedro corre, siempre atento, no se lo piensa ni un momento Puede rescatar a su amiga Inés, con sus largas piernas y sus pies Pedro ha mostrado un gran talento, los monstruos están muy contentos.",1
"Le dan una gran medalla, pues, como amigo, nunca falla Que ser grandes o muy pequeños nunca os robe vuestros sueños Pedro salvó a su amiga Inés porque tiene dos grandes pies.",1
Pasteles voladores de colores SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Hoy Inés está en la cocina ¡ha hecho mil golosinas Hoy en la escuela celebra su fiesta Llevar la maleta mucho le cuesta.",1
"""Inés, ¿Qué habrá en tu maleta parece que va muy repleta"" ""¡Es mi cumpleaños y traigo un pastel, dulces, golosinas y galletas de miel "" Comienza la escuela, primera lección, ellos se preparan y prestan atención.",1
"Por fin llega el recreo, suena la campana ¡Empieza la fiesta a media mañana Pero la maleta parece que está viva, no para de dar saltos, abajo y arriba.",1
"""¿Estáis preparados para la sorpresa """"¡No son solamente pasteles de fresa "" ¡Galletas que saltan y maíz que explota, frutillas y tartas que botan y botan.",1
"Todos lo manchan estas golosinas, monstruos y paredes ¡Qué saltarinas Los monstruos están preocupados por si el profe Mauro se ha enfadado Pero Mauro los anima con un grito:""¡A por ellas.",1
"""¡Corred, que os las quito "" Los monstruos corriendo, las pillan, saltan, ríen, juegan y chillan- Inés dice: ""Mi fiesta es la mejor"""" También lo piensa su profesor.",1
"Trastadas aladas SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro La escuela de monstruos ha abierto sus puertas Si sales corriendo, ¡seguro que aciertas.",1
"Hay monstruitos que saben esfumarse, con escamas o pelos, ¡y sin ducharse Aquí llega Ciro, ¡un monstruo vampiro , de pronto aparece ¡como un suspiro.",1
"Puede ser murciélago con rapidez, y salir volando una y otra vez Samuel, en el baño, se lava tranquilo y le dan un susto que pesa más de un kilo.",1
"Bernardo tiene miedo y mira a los lados, Ciro aparece, ¡también lo ha asustado María, encantada, lee en el suelo, pero del susto casi toca el cielo.",1
"Los monstruos se enfadan, le dicen a Ciro: - ¡Nos asustas mucho ¡vete ¡date el piro Ciro se entristece:- ¡Ya volveré luego Para sus amigos eso no es un juego.",1
"Cuando Ciro llega, todos sus amigos salen corriendo, ¡no dejan ni el abrigo Pero tener alas es un gran regalo, ¡Ciro ahora ya sabe cómo arreglarlo.",1
"A la hora del patio, salen de la escuela, el pequeño vampiro, vuela que vuela Vuela que te vuela, de aquí para allá, dejando papeles allá donde va.",1
"Cuando termina el tiempo del jardín, las notas de Ciro encuentran, ¡por fin Son buenos amigos, ya están muy contentos Y que Ciro vuele no es tan mal invento.",1
Pedos como truenos SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¡No leas este cartel La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Hay monstruos que son muy grandes artistas, tocan y bailan en teatros y pistas Bernardo es un monstruo muy inteligente, el mejor en mates y arte le dice la gente.",1
"Él tiene un secreto que nunca confiesa, quisiera ser actor, como la tía Teresa Empieza la prueba y se pone nervioso, le duele la tripa de un modo grandioso.",1
"Le toca su turno al monstruo Bernardo, su tripa ya ruge como un leopardo Se encoge, se asusta y mira hacia al suelo, se le escapa un pedo que suena hasta el cielo.",1
"Bernardo, agobiado, toca su cabeza, ¡se escapa otro pedo que huele a cereza Comienza, con sus pedos, un gran concierto, Bernardo, sin duda, es más que un experto.",1
"Está avergonzado y muy paliducho, pero Ciro dice: - ¡qué guay , ¡mola mucho Le sigue diciendo, a su buen amigo: - esta obra es muy buena, ¡que cuenten contigo.",1
"¡Bernardo es la estrella - gritan todos juntos- Mejor si votamos: ¡se lleva mil puntos - Bernardo que risa, es tan divertido - ¡Qué bueno es tu arte con su gran sonido.",1
"Dos mese después llega el gran estreno: ""el monstruo que suena: el pedo sin freno"" El teatro a tope, aunque fuera diluvia, y su gran secreto: ¡comer mucha alubia.",1
Emociones de colores SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Hay fantasmas que son muy bromistas, otros juguetones o equilibristas También está Luna, que es transparente, se asusta mucho, de monstruos y gente.",1
"Es muy educada, ella es un amor, cuando se esconde es la mejor El juego termina, ella es invisible, nunca la encuentran, eso es terrible.",1
"A la fantasma no la pueden ver, a veces la aplastan: ¡no puede ser Ciro no la ve y se cuela en el juego, Luna se enfada, empieza a sentir fuego.",1
"-¡Es que es mi turno -le dice furiosa, mientras lo dice se pone muy roja Los monstruos se han ido, con un gran susto, Luna se queda un gran disgusto.",1
"Solo se queda su amiga María, ella no se asusta, ¡qué valentía Luna, llorando, se vuelve azulada, -¿qué me está pasando -dice extrañada - Perdona, Luna, ¡todo es culpa mía.",1
"yo hice este hechizo - le dice María - Para encontrarte cambias de color y todos sabemos cuál es tu humor -¡Muchas gracias - le contesta amorosa, y, de pronto, se vuelve de color.",1
"¡rosa Están en el patio, a media mañana, y de repente, se le cuela Jana Pero si la ven, Luna no se enfada, al estar feliz siempre está rosada.",1
Torpón y bonachón SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¡Cuidado con los monstruos La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Hay monstruos pequeños y otros que dan saltos, pero, sin duda, Fran es el más alto Es como una torre, enorme y distante, y tiene más fuerza que cuatro gigantes.",1
"Pero el pobre Fran, en clase de arte, sin darse ni cuenta, su trabajo parte En clase de dibujo es mucho peor: de tanto apretar se le escapa su color.",1
"Encima toca baile, baile por parejas, igual, si se queda, le rompe las orejas Pregunta el jardinero: -¿Qué te pasa, Fran ¿Por qué te has escondido en mi desván.",1
"-Es que soy muy grande y todo lo rompo, no encajo con nadie, soy como un trompo -Pero eso no es cierto Te prometo, amigo, que puedes ayudarme si vienes conmigo.",1
"- No creo que pueda ayudar en nada -Yo digo que sí Verás qué monada Te presento esta mañana ¡a la familia marrana Él mira a esos bebés, gorrina y gorrino, y se pone tan feliz que casi hace el pino.",1
"Está muy contento, es todo una fiesta, les canta una canción, ¡es hora de la siesta -¡Me ayudas un montón: no hay mejor niñero Los cerditos disfrutan con mucho salero.",1
"-No lo dudes, Fran, ven siempre que quieras: ¡hay mucha faena cuidando a las fieras Ahora está orgulloso de su gran trabajo, el día ha terminado y Fran es el más majo.",1
Dame helado que me deshago SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¡Cuidado con los monstruos La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Te presento a Susana y te cuento una cosa: al pasar siempre deja una marca viscosa En invierno hace frío, se resbala y patina, cuando llega el verano parece gelatina.",1
"Y Susana se queja, dice a cada momento: - no te acerques a mí, soy como pegamento Ay, la pobre Susana a todos molesta: - esto es muy pringoso.",1
"Pero, ¿Qué cosa es esta Ya no puede jugar con pelotas ni arena, pues todo se le pega y la pobre se apena Y Susana termina sucia y triste en la escuela.",1
"Van los monstruos manchado de su pringosa estela Al termina la escuela, una buena mañana, a esperar en la puerta, van Inés y Susana Mirando a dos momias tienen la gran idea, ¡una idea genial.",1
"y Susana gotea Al día siguiente llegarán las primeras hasta la enfermería, pues no hay enfermeras Enseguida lo encuentran en el botiquín y Susana se disfraza en un momentín.",1
"Nadie la reconoce, ¡es la momia Susana Todos creen que ha llegado nueva está semana Pero les da la risa, Inés mira a su amiga mas se aguantan las dos la risa en la barriga.",1
"Seguirán con su broma un rato, pero luego ¡ya les falta Susana para empezar el juego Y confiesa: -¡soy yo - Así todo se aclara: pues se aparta las vendas, asomando la cara.",1
Una idea sobre ruedas SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¿Otra vez tú La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Esta es Gema Le gustan las carreras, ella siempre gana, ¡con ruedas va ligera Ella es muy rápida: entra, sube y baja.",1
"Siempre tan veloz y también es muy maja Gema tiene ayuda cuando hay escalones, porque sus amigos son los más molones Mano con garra o una pata peluda, siempre muy amables, le ofrecen su ayuda.",1
"Pero en el recreo hoy toca esconderse Gema va buscando dónde meterse Y muy veloz, se disfraza de arbusto, pero la pillan y le dan un buen susto.",1
"Gema quisiera esconderse en lo más alto pero sus ruedas le impiden dar un salto La encuentran de nuevo y así todo el rato ""¿Dónde me escondo.",1
", ¿Dentro del zapato "" A Gema se le ocurre un plan sin igual Se pone al trabajo:¡Una idea genial ¡Un muelle especial -¡Corred a buscarme a ver si me veis, tal vez en la luna a mí me encontréis.",1
"Con su muelle especial que nadie se espera, saltando se esconde, pues Gema ¡es la pera Todos la buscan, de aquí para allá, pero no la encuentran, ¿Dónde estará.",1
"Buscan sin parar y por todos los lados, y de tanto buscar ya están muy cansados Los monstruos se ríen con gran alegría cuando ven a Gema en el árbol subida.",1
El artista de la pista SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¡Silencio La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Los monstruos bailando, gira que te gira, y Bruno lobezno escondido los mira -¿Y tú no bailas - le pregunta Pamela - Los lobos no bailan, lo dice mi abuela.",1
- No puedo bailar porque soy muy fiero Pamela sonríe: -¡pruébalo primero A Pamela se le ocurre una gran idea: llama a escondidas sin que nadie la vea.,1
"Al día siguiente, pintando contentos, la profe les dice: -Escuchad bien atentos - Veníos conmigo Todos a salón: ¡tengo una sorpresa que mola un montón.",1
"Aplauden y miran con cara de bobos, sube al escenario ¡es lobo Jacobo Salta, rueda y gira, sobre su cabeza, todos alucinan, ¡están de una pieza.",1
"¡El lobo Jacobo, qué gran bailarín y lanza su gorra cuando llega el fin -¿Sabíais que los lobos podían bailar así Y Bruno mira a Pam: - ¿Lo podré conseguir.",1
"Pamela se ríe: -¿Y por qué no pruebas Ya suenan canciones raperas y nuevas Mola mil lobezno, ¡parece que vuela -¿Hacemos un baile para nuestra escuela.",1
"Ensayan en el patio, es muy divertido Bruno también baila, por fin lo ha conseguido -¡Qué gran bailarín, bailas como un lobo ¡¿Quieres ser famoso igual que Jacobo.",1
Apestoso pero delicioso SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¡Prohibido comerse este libro La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas A Cristina le rechifla la cocina Barro, gusanos y plumas de gallina Lola le dice: -¡Cristina, para quieta ¡Lo manchas todo y huele a mofeta.",1
"-Ve a la cocina con la señora Nora Serás su ayudante a partir de ahora Hay mucho trabajo, cocina sin parar -¿Qué quieres Cristina vienes a ayudar.",1
"Para empezar ¡Búscame una receta Preparemos una sopa secreta Cristina, entre todos, elige el amarillo: -Me voy al jardín, a ver lo que pillo ¡Qué delicioso.",1
"- dice mientras guarda gusanos, tres hojas y una gran moscarda Nora a lo suyo, con gran esmero, Cristina se dirige hacia el puchero Lo echa en la olla y huele muy mal.",1
"Nora se da cuenta: -Esto está fatal -¡Pues claro, este libro no es de cocina Cosas apestosas y moscas albinas Cristina está muy triste, llora que llora.",1
"-Yo solo pretendía ayudarte, Nora Nora prueba la sopa con el cucharón: -¡Huele muy mal, pero sabe a bombón Llegan los monstruos hasta el comedor: -¡Qué peste.",1
"¡Qué asco ¿Qué es ese olor Es cierto, huele mal, pero la hizo su amiga, resulta que está rica No dejan ni las migas -Mejor no juzgar sin conocer primero: ¡Salió la mejor sopa del mundo entero.",1
Cuidado cuando me enfado SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¡Atención: no jugar al balón La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas A veces, Lucía está muy feliz, pero otras se enfada y arruga la nariz Gruñendo y gritando se pone furiosa, cuando está enfadada parece una osa.",1
"Cristina se asusta: -¡es monstruosa - le dice a Pamela, muy sigilosa Se acerca a Lucía, para ver si se calma, pero es que su enfado le sale del alma.",1
- A mí me pasa igual con las emociones: a veces se desbordan y salen a montones - ¿Y cómo las consigues calmar quiero aprender a poderlas parar.,1
"-De niña me dieron este calcetín Yo te lo regalo, se llama Tintín -Escúchalo bien, es muy inteligente, él te enseñará a calmar tu mente.",1
"Y Tintín le dice que es mejor si almuerza cambiará su humor y le dará fuerza Al comerse el almuerzo, de pronto Lucía ya no está furiosa ¡se ha arreglado su día.",1
"Al día siguiente empieza a estar rabiosa, pero entonces, Tintín le cuenta otra cosa - Es que tu día ha sido agotador, si duermes la siesta cambiará tu humor.",1
"A veces solamente necesita reposo, y otras veces jugar es fabuloso Hay días que quiere un bocata de queso y otros que solo quiere un beso.",1
Unas rocas muy graciosas SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¡Los huesos molan La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Yago tiene muchas cosas especiales: fósiles de insectos, raros minerales Yago los esconde como un gran tesoro, para él valen más que un cofre de oro.",1
"Los guarda muy bien, a nadie se los presta: -Son muy bonitos- le ha dicho la maestra -Siempre estás solo, nunca juegan contigo, ¿No es mejor divertirte con tus amigos Yago sigue ahí, jugando tranquilo, Hugo se acerca con mucho sigilo.",1
"-Tienes un montón, ¡qué barbaridad ¿Me dejas tocarlas , ¿Son de verdad Todos se acercan a ver qué hace Yago, ¡qué divertido, parece que es un mago.",1
"-Qué rocas tan geniales- dicen al momento, y Yago enseguida se pone contento -¡Cuidado - dice Hugo, abriendo la boca, pero llega tarde ¡se rompió una roca.",1
"Todos se asustan Hugo está llorando, Pamela se acerca -¿Qué está pasando Miran a Yago por si se ha enfadado, en vez de enfadarse a Hugo ha abrazado.",1
"Los monstruos le dicen: -Molas mogollón Busquemos más rocas, somos un montón Ayuda la más fuera Ayuda la más alta Todos colaboran y ninguno falta.",1
"Encuentran de todo piedras y rocas, huesos y jarras ¡¿dientes de focas ¡Cuántas cosas chulas , pero ya te digo, que el mejor tesoro es tener amigos.",1
Diferentes pero iguales SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¡Prohibido aparcar La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Vive muy lejos y se llama Jero Viene en una nave, él es extranjero Jero es muy raro, habla diferente, pero cae bien y lo entiende la gente.",1
"La profe, Pamela, le pide que les cuente Y Jero, con tiza, lo dibuja amablemente Les explica su historia de espacios lejanos, de naves, estrellas y muchos marcianos.",1
"A veces, Cristina le da su manzana, con gestos se entienden cada mañana Jero aprende mucho, dibuja a diario Y se va en cohete ¡Es extraordinario.",1
"Una mañana visitan el pueblo de al lado, un monstruo lo mira, un poco irritado -¡No te queremos ¡Vuelve a tu casa Jero, muy triste, no entiende qué pasa.",1
"-Jero , ¡no le escuches - dicen sus amigos- ¡Ven, por favor siéntate conmigo Al día siguiente no quiere ir a la escuela, le dice a su mamá que le duele la muela.",1
"Cuando la familia cena, después de las siete, una luz potente llega a su cohete ¡Es un mensaje de muchas manos, y Jero entiende su significado.",1
"¡Por la mañana en el jardín, los monstruos miran al cielo y ¡Por fin Sabe que el monstruo estaba equivocado Jero vuelve al cole, ¡Se siente muy arropado.",1
Aperitivos explosivos SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro ¡No molestar La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas Lolo, el zombi, vive bajo tierra, gusanos y bichos en su caja encierra A Lolo le chiflan, en rincones los guarda.",1
"¿Bolsillos o alfombra La va a liar parda Lolo tiene hambre no es ningún capricho; en vez de galletas, ¡se ha comido un bicho Pero los gusanos le provocan pedos.",1
"Son muy apestosos, dan hasta miedo -¿Qué es eso que tienes, qué hay en tu mano No quiero que comas ningún gusano -¡Qué ruido Ya vuelve, ¡es tremendo.",1
"Suena la bomba ¡cuidado, otro estruendo -¡Qué peste ¡Qué asco - y salen en tropel Lolo no lo entiende ¿Lo dicen por él No pueden estar dentro, la clase huele mal.",1
"Pero fuera se mojan, ¡pues hay un temporal -¿Te gustan los gusanos deben de estar ricos, pero esos pedos grandes nos hacen añicos - Mastico todo el día, pues siempre estoy hambriento; tal vez es por ser zombi, te juro que no miento.",1
"Pamela ha tenido una idea divina: -¡Vamos con Nora, que está en la cocina -Tráelos todos, bichos y gusanos, y los cocinaré con estas dos manos.",1
"Ya no habrá problemas, pase lo que pase, ¡gusanos guisados no provocan gases Los come tranquilo en pan o en galleta; después, a jugar, dando volteretas.",1
¿Cuál es la diferencia entre lectura fácil y lenguaje claro olga berrios Por Olga Berrios Hay personas que mezclan dos términos: lectura fácil y lenguaje claro.,1
"Vamos a explicar la diferencia ¿Qué es la lectura fácil Es una forma de hacer documentos que son más fáciles de entender Para hacer lectura fácil, Plena inclusión sigue 2 normas: «Información para todos» y la Norma UNE de lectura fácil.",1
Hay que comprobar con cada documento si es fácil de entender A esto le llamamos validación La validación la suelen hacer personas con dificultades de comprensión como las personas con discapacidad intelectual.,1
Si un documento tiene este logo azul es porque sigue las normas de lectura fácil y ha sido validado logo lectura fácil La lectura fácil está pensada para personas las personas que tienen dificultades para comprender.,1
"En la lectura fácil cortamos las frases en varias líneas Así son más fáciles de leer A veces parecen un poema En el lenguaje claro, las frases no se cortan así.",1
¿Qué es el lenguaje claro Es también una forma de hacer documentos que son más fáciles de entender El lenguaje claro no está pensado para las personas con dificultades de comprensión.,1
También se comprueba que los documentos son fáciles de entender Pero no se hace con todos y tampoco se suele hacer con personas con dificultades de comprensión.,1
¿Por qué todo el movimiento asociativo debería aprender lectura fácil olga berrios Por Olga Berrios equipo de validación lectura fácil Sería una buena idea que las personas que trabajan o colaboran en las asociaciones de Plena inclusión aprendiera la lectura fácil y la hicieran en su trabajo.,1
La lectura fácil es una forma de hacer documentos más fáciles de entender Ahora mismo sólo algunas personas que trabajan en accesibilidad saben hacer lectura fácil.,1
"Así que hay muchos documentos de las asociaciones que son difíciles de entender Y también hay charlas, presentaciones y conferencias que las personas para las que trabajamos tienen dificultades para entender.",1
Plena inclusión ha contribuido a conseguir muchos logros: Asegurar el derecho al voto Prohibir la esterilización forzada Que haya más personas con discapacidad en las juntas directivas que toman decisiones en las asociaciones.,1
"Propongo un nuevo logro que podemos conseguir: que todas las personas que trabajan en organizaciones de Plena inclusión sepan hacer lectura fácil Así, los equipos de accesibilidad tendrán más tiempo para adaptar documentos muy importantes para las personas con discapacidad: Temarios de oposiciones.",1
"Programas electorales Leyes que les afectan Información sobre salud Mientras, el resto de personas pueden hacer más fáciles de entender documentos internos de las asociaciones: Programas de congresos.",1
Los formularios para apuntarte Los cursos de formación Lectura fácil primero Otra propuesta es que intentemos que todos los documentos estén desde el principio en lectura fácil.,1
"Es decir, no hace primero una versión difícil y luego adaptarla a lectura fácil En las ofertas de trabajo Otra idea es que en las ofertas de trabajo de las asociaciones pidamos que las personas sepan lectura fácil.",1
"Ahora mismo a menudo pedimos que sepan inglés, pero es mucho más importante la lectura fácil para nuestro trabajo El siguiente paso Después de aprender lectura fácil, todas y todos deberíamos aprender algo sobre sistemas alternativos y aumentativos de comunicación.",1
Las federaciones de Plena inclusión convierten el ‘Día del Libro’ en una jornada festiva para relanzar la lectura fácil Plena inclusión celebra el día del libro El día del libro es el 23 de abril.,1
Este día las federaciones autonómicas de Plena inclusión hacen actos en diferentes partes de España a favor de la lectura fácil Este año el lema es «Queremos lectura fácil» para que haya mas libros en lectura fácil en las bibliotecas y sus páginas de Internet.,1
Ahora os mostramos algunos – En Andalucía se presento el 2 premio de corto y poesía de personas con discapacidad intelectual del ateneo de Sevilla.,1
– En Aragón se fue a una biblioteca a por libros que pidieron las personas con discapacidad sin medios tecnológicos que les pasaron mediante un catálogo – En Asturias se leyó El Principito de manera continuada.,1
– En Castilla y León ha hecho vídeos en las redes sociales en que la gente leía un trozo de libro que les gustaba – En Cataluña ha hecho un concurso de que hagan fotografías de sus libros favoritos.,1
Conclusiones del Encuentro Nacional de Buenas Prácticas en Lectura Fácil «Letras para Todos» El III Encuentro Nacional de Buenas Prácticas en Lectura Fácil fue en Valladolid el pasado 3 de noviembre de 2016 El encuentro se llamaba Letras para todos.,1
"La lectura fácil son unas recomendaciones para escribir textos que son más sencillos de entender En el encuentro, participaron más de cien personas Eran personas expertas e interesadas en la lectura fácil.",1
"El encuentro lo organizó Plena inclusión y Plena inclusión Castilla y León Colaboraron el Ministerio de Educación, Cultura y Deporte, Factoría de Arte y Desarrollo, Dilofácil, Cooperativa Altavoz y la Universidad de Valladolid.",1
"Los talleres trataron sobre estos temas: la salud, la cultura, el empleo y las administraciones públicas Algunas de las ideas que salieron en los talleres son: Los folletos de las medicinas deberían estar en lectura fácil.",1
Los números de las butacas de los cines deberían ser más grandes y estar en un sitio que se vean mejor Las ofertas de empleo también deberían estar en lectura fácil Debajo de esta noticia puedes descargar un documento con todas las ideas que salieron en los talleres.,1
"¿Cómo usamos las imágenes en la lectura fácil ilustración persona documento iconos bien mal regular Las imágenes son muy importantes para entender los documentos Pero, a veces, también pueden dificultar la comprensión.",1
"En España, hay una norma que explica cómo hacer la lectura fácil Se llama Norma UNE Esta norma es de pago Pero puedes consultarla gratis en la página web Accessibilitas.",1
¿Qué dice la norma de la lectura fácil sobre las imágenes Esta norma incluye 11 consejos Por ejemplo: Cómo elegir las imágenes Por ejemplo: con un fondo plano.,1
Tener en cuenta que los colores también transmiten significado Por ejemplo: algo rojo puede significar prohibido o peligro Dónde colocar las imágenes Solemos recomendar ponerlas a la izquierda o justo encima del texto con el que están relacionadas.,1
"Son solo 11 normas Nos preguntamos: ¿falta alguna ¿Podríamos crear más Algunas ideas sobre las imágenes en la lectura fácil Hace unos días, la Red de Accesibilidad y 2 personas de la Universidad Pablo de Olavide nos reunimos para tratar este tema.",1
"Compartimos algunas ideas: Hay que evitar imágenes muy infantiles o repetitivas Vemos documentos en lectura fácil de otros países con muchas imágenes A veces, puede dar la sensación de que son demasiadas y dan más trabajo para leer el documento.",1
"En España, quizá usamos pocas imágenes Usamos pocas imágenes por falta de tiempo y dinero Pero también porque a veces dan más problemas que soluciones.",1
"Sobre todo, las usamos cuando son útiles para explicar un tema que es complicado explicar con palabras Es más fácil explicarlo de forma visual Por ejemplo: con una imagen, es más fácil explicar las partes de una tarjeta de crédito.",1
"Ilustración de una tarjeta con sus partes señaladas: titular, fecha de renovación, teléfono para urgencias CVC, banda magnética Otro ejemplo: con un imagen, es más fácil explicar el gesto de una mano.",1
En la foto: una persona usa una mano para teclear el pin y usa la otra mano para tapar las teclas que pulsa También usamos imágenes para decorar o hacer más atractivo el documento.,1
Antes usábamos muchos pictogramas de sistemas alternativos y aumentativos de comunicación Ahora pensamos que pueden ser difíciles de entender en la lectura fácil Los niveles de adaptación de la lectura fácil también hablan al uso o no de imágenes.,1
"Pero, a menudo, no solemos adaptar por niveles Solo hacemos una adaptación ¿Cómo validamos las imágenes en la lectura fácil Validar es comprobar que un documento es fácil de entender.",1
"En la lectura fácil, es muy importante validar también las imágenes, no solo el texto La validación la hacen personas con dificultades de comprensión Estas preguntas son las principales que hacemos para validar las imágenes: ¿Qué ves en esta imagen.",1
"¿Qué relación tiene con el texto Si con las respuestas, encontramos un problema de comprensión volvemos a preguntar para pensar ideas y soluciones: ¿Cómo debería ser la imagen para explicar bien este tema.",1
"¿Qué hacemos para que la imagen tenga la relación que debe tener con el texto Temas para investigar sobre las imágenes en la lectura fácil En la reunión, hablamos de qué temas debemos investigar para mejorarlos.",1
